Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_B04001_001,SE_B04001_002,SE_B04001_003,SE_B04001_004,SE_B04001_005,SE_B04001_006,SE_B04001_007,SE_B04001_008,SE_B04001_009,SE_B04001_010,PCT_SE_B04001_002,PCT_SE_B04001_003,PCT_SE_B04001_004,PCT_SE_B04001_005,PCT_SE_B04001_006,PCT_SE_B04001_007,PCT_SE_B04001_008,PCT_SE_B04001_009,PCT_SE_B04001_010,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,PCT_SE_A12001_002,PCT_SE_A12001_003,PCT_SE_A12001_004,PCT_SE_A12001_005,PCT_SE_A12001_006,PCT_SE_A12001_007,PCT_SE_A12001_008,SE_A17005_001,SE_A17005_002,SE_A17005_003,PCT_SE_A17005_002,PCT_SE_A17005_003,SE_A14006_001,SE_A14008_001,SE_A10014_001,SE_A10014_002,SE_A10014_003,PCT_SE_A10014_002,PCT_SE_A10014_003,SE_A14024_001,SE_A13003B_001,SE_A13003B_002,SE_A13003B_003,PCT_SE_A13003B_002,PCT_SE_A13003B_003,SE_A13003C_001,SE_A13003C_002,SE_A13003C_003,PCT_SE_A13003C_002,PCT_SE_A13003C_003,SE_A20001_001,SE_A20001_002,SE_A20001_003,SE_A20001_004,SE_A20001_005,PCT_SE_A20001_002,PCT_SE_A20001_003,PCT_SE_A20001_004,PCT_SE_A20001_005
"1202","50000US1202","Congressional District 2 (116th Congress)","Congressional District 2 (116th Congress), Florida","fl","500","00","ACSSF","0020071",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,"02",,,,,,,,,,,,,,,,,,719213,65.35767,11004.2633711044,719213,672613,548690,90960,2792,12265,736,1390,15780,46600,93.52,76.29,12.65,0.39,1.71,0.1,0.19,2.19,6.48,508358,65147,168334,155473,73035,30455,8837,7077,12.82,33.11,30.58,14.37,5.99,1.74,1.39,309760,287983,21777,92.97,7.03,48717,67365.9929472903,269400,5652,263748,2.1,97.9,26378,398162,64568,333594,16.22,83.78,134124,11473,122651,8.55,91.45,678699,82887,595812,270964,430941,12.21,87.79,39.92,63.5
"1203","50000US1203","Congressional District 3 (116th Congress)","Congressional District 3 (116th Congress), Florida","fl","500","00","ACSSF","0020072",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,"03",,,,,,,,,,,,,,,,,,728979,204.498,3564.72459331858,728979,659179,496338,114886,1559,24939,334,1611,19512,69800,90.42,68.09,15.76,0.21,3.42,0.05,0.22,2.68,9.58,484098,54792,149893,148335,76610,34209,10619,9640,11.32,30.96,30.64,15.83,7.07,2.19,1.99,334824,309958,24866,92.57,7.43,49527,67643.1801949218,264619,5013,259606,1.89,98.11,26118,430987,83018,347969,19.26,80.74,114374,10903,103471,9.53,90.47,705866,79591,626275,245663,469336,11.28,88.72,34.8,66.49
"1204","50000US1204","Congressional District 4 (116th Congress)","Congressional District 4 (116th Congress), Florida","fl","500","00","ACSSF","0020073",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,"04",,,,,,,,,,,,,,,,,,780575,497.2179,1569.88516703552,780575,716710,586419,70697,1522,35077,246,2491,20258,63865,91.82,75.13,9.06,0.19,4.49,0.03,0.32,2.6,8.18,551001,36547,128980,167448,140182,55740,14961,7143,6.63,23.41,30.39,25.44,10.12,2.72,1.3,404515,385620,18895,95.33,4.67,70059,96455.9518072289,300875,4633,296242,1.54,98.46,38794,480477,42765,437712,8.9,91.1,122047,8696,113351,7.13,92.87,764960,75925,689035,208827,574671,9.93,90.07,27.3,75.12
"1205","50000US1205","Congressional District 5 (116th Congress)","Congressional District 5 (116th Congress), Florida","fl","500","00","ACSSF","0020074",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,"05",,,,,,,,,,,,,,,,,,729038,190.9486,3817.97994430862,729038,669682,288898,340490,1855,19528,668,1443,16800,59356,91.86,39.63,46.7,0.25,2.68,0.09,0.2,2.3,8.14,465888,68508,153113,150221,63119,22745,4230,3952,14.7,32.86,32.24,13.55,4.88,0.91,0.85,347442,316413,31029,91.07,8.93,41255,54468.2595580915,269196,9525,259671,3.54,96.46,21262,446501,98693,347808,22.1,77.9,87311,11274,76037,12.91,87.09,702540,89944,612596,278428,407782,12.8,87.2,39.63,58.04
"1206","50000US1206","Congressional District 6 (116th Congress)","Congressional District 6 (116th Congress), Florida","fl","500","00","ACSSF","0020075",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,"06",,,,,,,,,,,,,,,,,,753500,346.8178,2172.6105047591,753500,660396,553795,76506,2229,13283,202,2112,12269,93104,87.64,73.5,10.15,0.3,1.76,0.03,0.28,1.63,12.36,558943,54992,180627,190423,85819,33607,7985,5490,9.84,32.32,34.07,15.35,6.01,1.43,0.98,330144,311753,18391,94.43,5.57,48810,65867.9890100741,300275,6057,294218,2.02,97.98,27693,425040,62815,362225,14.78,85.22,184059,15783,168276,8.57,91.43,747013,94157,652856,312394,463225,12.6,87.4,41.82,62.01
"1207","50000US1207","Congressional District 7 (116th Congress)","Congressional District 7 (116th Congress), Florida","fl","500","00","ACSSF","0020076",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,"07",,,,,,,,,,,,,,,,,,757809,1929.014,392.847905086819,757809,568705,437913,74136,1015,34104,333,3873,17331,189104,75.05,57.79,9.78,0.13,4.5,0.04,0.51,2.29,24.95,516515,35728,112031,167285,132512,48771,13078,7110,6.92,21.69,32.39,25.66,9.44,2.53,1.38,402368,380678,21690,94.61,5.39,60137,84963.9695110376,279183,4919,274264,1.76,98.24,32955,483608,66139,417469,13.68,86.32,102100,9830,92270,9.63,90.37,752767,87348,665419,202986,528052,11.6,88.4,26.97,70.15
"1208","50000US1208","Congressional District 8 (116th Congress)","Congressional District 8 (116th Congress), Florida","fl","500","00","ACSSF","0020077",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,"08",,,,,,,,,,,,,,,,,,742230,423.7604,1751.53224184822,742230,663404,556089,69751,1902,15860,550,1798,17454,78826,89.38,74.92,9.4,0.26,2.14,0.07,0.24,2.35,10.62,553073,48797,159809,183843,99038,46361,8680,6545,8.82,28.89,33.24,17.91,8.38,1.57,1.18,330629,309408,21221,93.58,6.42,53969,75950.9137968913,291312,5396,285916,1.85,98.15,31806,420981,53348,367633,12.67,87.33,180278,14239,166039,7.9,92.1,736089,80968,655121,302683,482921,11,89,41.12,65.61
"1209","50000US1209","Congressional District 9 (116th Congress)","Congressional District 9 (116th Congress), Florida","fl","500","00","ACSSF","0020078",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,"09",,,,,,,,,,,,,,,,,,837026,362.0818,2311.70435075375,837026,496084,352539,99801,1389,23510,373,3280,15192,340942,59.27,42.12,11.92,0.17,2.81,0.04,0.39,1.81,40.73,564270,78822,172876,179270,88524,33122,7219,4437,13.97,30.64,31.77,15.69,5.87,1.28,0.79,396099,370485,25614,93.53,6.47,51094,66602.7822625646,268810,7201,261609,2.68,97.32,23401,501848,71036,430812,14.15,85.85,128279,14065,114214,10.96,89.04,828998,122765,706233,306043,485547,14.81,85.19,36.92,58.57
"1210","50000US1210","Congressional District 10 (116th Congress)","Congressional District 10 (116th Congress), Florida","fl","500","00","ACSSF","0020079",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,"10",,,,,,,,,,,,,,,,,,808969,1854.073,436.319970594458,808969,585328,297387,219166,964,41388,611,8003,17809,223641,72.35,36.76,27.09,0.12,5.12,0.08,0.99,2.2,27.65,541227,68916,140445,164932,113611,38564,10092,4667,12.73,25.95,30.47,20.99,7.13,1.86,0.86,432578,405282,27296,93.69,6.31,52843,76552.3431372195,276659,6412,270247,2.32,97.68,27791,519722,74508,445214,14.34,85.66,88154,10202,77952,11.57,88.43,802862,124070,678792,243220,494105,15.45,84.55,30.29,61.54
"1211","50000US1211","Congressional District 11 (116th Congress)","Congressional District 11 (116th Congress), Florida","fl","500","00","ACSSF","0020080",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,"11",,,,,,,,,,,,,,,,,,754649,313.4326,2407.69135301013,754649,675816,595758,51840,2511,9287,107,2965,13348,78833,89.55,78.95,6.87,0.33,1.23,0.01,0.39,1.77,10.45,593195,66865,213620,190639,77768,34297,6328,3678,11.27,36.01,32.14,13.11,5.78,1.07,0.62,265273,245120,20153,92.4,7.6,46297,60709.3294699638,317167,5839,311328,1.84,98.16,26706,351831,53814,298017,15.3,84.7,268602,19561,249041,7.28,92.72,738791,77945,660846,403448,437555,10.55,89.45,54.61,59.23
"1212","50000US1212","Congressional District 12 (116th Congress)","Congressional District 12 (116th Congress), Florida","fl","500","00","ACSSF","0020081",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,"12",,,,,,,,,,,,,,,,,,757719,882.7673,858.345091946372,757719,662121,589908,34395,2012,19639,480,1613,14074,95598,87.38,77.85,4.54,0.27,2.59,0.06,0.21,1.86,12.62,560434,53049,172343,180656,101696,39627,7830,5233,9.47,30.75,32.24,18.15,7.07,1.4,0.93,341674,320844,20830,93.9,6.1,52568,72739.696948744,303711,7094,296617,2.34,97.66,30485,424958,50541,374417,11.89,88.11,178881,16498,162383,9.22,90.78,750041,81314,668727,298459,479720,10.84,89.16,39.79,63.96
"1213","50000US1213","Congressional District 13 (116th Congress)","Congressional District 13 (116th Congress), Florida","fl","500","00","ACSSF","0020082",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,"13",,,,,,,,,,,,,,,,,,723658,3981.792,181.741815019992,723658,652137,516250,88232,1619,25435,752,2360,17489,71521,90.12,71.34,12.19,0.22,3.51,0.1,0.33,2.42,9.88,550581,52832,158752,175552,105964,39099,12270,6112,9.6,28.83,31.88,19.25,7.1,2.23,1.11,360879,340136,20743,94.25,5.75,50319,72385.0744375307,307439,8392,299047,2.73,97.27,32735,433555,59944,373611,13.83,86.17,158250,16097,142153,10.17,89.83,714210,87453,626757,279915,443116,12.24,87.76,39.19,62.04
"1214","50000US1214","Congressional District 14 (116th Congress)","Congressional District 14 (116th Congress), Florida","fl","500","00","ACSSF","0020083",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,"14",,,,,,,,,,,,,,,,,,763832,2768.133,275.937624421426,763832,533715,347820,129421,1451,34462,330,2702,17529,230117,69.87,45.54,16.94,0.19,4.51,0.04,0.35,2.29,30.13,520121,59751,136446,137722,116367,47100,14792,7943,11.49,26.23,26.48,22.37,9.06,2.84,1.53,407151,380716,26435,93.51,6.49,53306,81478.9930654571,298073,8185,289888,2.75,97.25,33112,491265,78885,412380,16.06,83.94,96558,12585,83973,13.03,86.97,758485,101787,656698,240105,473953,13.42,86.58,31.66,62.49
"1215","50000US1215","Congressional District 15 (116th Congress)","Congressional District 15 (116th Congress), Florida","fl","500","00","ACSSF","0020084",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,"15",,,,,,,,,,,,,,,,,,777638,715.1099,1087.43847770723,777638,603581,448816,109449,1893,22909,575,3482,16457,174057,77.62,57.72,14.07,0.24,2.95,0.07,0.45,2.12,22.38,530275,64546,167767,164108,90191,33024,6258,4381,12.17,31.64,30.95,17.01,6.23,1.18,0.83,378171,355156,23015,93.91,6.09,54333,70236.0650909091,275000,6263,268737,2.28,97.72,26253,468031,63013,405018,13.46,86.54,121549,11583,109966,9.53,90.47,770076,95773,674303,271881,485753,12.44,87.56,35.31,63.08
"1216","50000US1216","Congressional District 16 (116th Congress)","Congressional District 16 (116th Congress), Florida","fl","500","00","ACSSF","0020085",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,"16",,,,,,,,,,,,,,,,,,804662,621.3156,1295.0938892381,804662,663943,566784,64435,1674,16718,413,1305,12614,140719,82.51,70.44,8.01,0.21,2.08,0.05,0.16,1.57,17.49,595087,59272,168257,175638,115315,54400,13279,8926,9.96,28.27,29.51,19.38,9.14,2.23,1.5,364500,344733,19767,94.58,5.42,59440,83788.5130853558,315620,5322,310298,1.69,98.31,34608,434729,49444,385285,11.37,88.63,206020,15067,190953,7.31,92.69,796924,97313,699611,317029,524165,12.21,87.79,39.78,65.77
"1217","50000US1217","Congressional District 17 (116th Congress)","Congressional District 17 (116th Congress), Florida","fl","500","00","ACSSF","0020086",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,"17",,,,,,,,,,,,,,,,,,756549,135.723,5574.21331681846,756549,641892,562275,54352,2019,10119,404,985,11738,114657,84.84,74.32,7.18,0.27,1.34,0.05,0.13,1.55,15.16,577630,74964,208565,169766,79011,32785,7749,4790,12.98,36.11,29.39,13.68,5.68,1.34,0.83,294307,274044,20263,93.12,6.88,48734,66771.1089042466,295039,4760,290279,1.61,98.39,27860,378719,57949,320770,15.3,84.7,234763,17948,216815,7.65,92.35,741464,95300,646164,375264,433781,12.85,87.15,50.61,58.5
"1218","50000US1218","Congressional District 18 (116th Congress)","Congressional District 18 (116th Congress), Florida","fl","500","00","ACSSF","0020087",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,"18",,,,,,,,,,,,,,,,,,757228,501.1306,1511.03929130174,757228,635358,508438,95089,1277,16713,468,1695,11678,121870,83.91,67.14,12.56,0.17,2.21,0.06,0.22,1.54,16.09,564590,58911,154721,175520,111399,44177,13664,6198,10.43,27.4,31.09,19.73,7.82,2.42,1.1,356980,337983,18997,94.68,5.32,58721,88773.6761612813,296203,5067,291136,1.71,98.29,36728,424897,48337,376560,11.38,88.62,186138,15457,170681,8.3,91.7,751002,90226,660776,290144,489942,12.01,87.99,38.63,65.24
"1219","50000US1219","Congressional District 19 (116th Congress)","Congressional District 19 (116th Congress), Florida","fl","500","00","ACSSF","0020088",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,"19",,,,,,,,,,,,,,,,,,797066,1065.734,747.903116153434,797066,635566,550464,60836,1085,12539,187,1894,8561,161500,79.74,69.06,7.63,0.14,1.57,0.02,0.24,1.07,20.26,608883,66476,171334,172885,121297,51266,17123,8502,10.92,28.14,28.39,19.92,8.42,2.81,1.4,347061,328031,19030,94.52,5.48,57611,90127.8008009309,315383,4006,311377,1.27,98.73,37996,412877,52983,359894,12.83,87.17,239138,17388,221750,7.27,92.73,790245,104724,685521,345309,503417,13.25,86.75,43.7,63.7
"1220","50000US1220","Congressional District 20 (116th Congress)","Congressional District 20 (116th Congress), Florida","fl","500","00","ACSSF","0020089",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,"20",,,,,,,,,,,,,,,,,,778060,360.3377,2159.25238263652,778060,587042,139646,406457,657,21854,181,3572,14675,191018,75.45,17.95,52.24,0.08,2.81,0.02,0.46,1.89,24.55,516162,92457,164769,150582,70479,27917,5536,4422,17.91,31.92,29.17,13.65,5.41,1.07,0.86,396484,362084,34400,91.32,8.68,46252,61575.8062134425,243794,7716,236078,3.16,96.84,21576,476865,79530,397335,16.68,83.32,99878,16411,83467,16.43,83.57,764788,139090,625698,276615,397942,18.19,81.81,36.17,52.03
"1221","50000US1221","Congressional District 21 (116th Congress)","Congressional District 21 (116th Congress), Florida","fl","500","00","ACSSF","0020090",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,"21",,,,,,,,,,,,,,,,,,762765,2976.591,256.254592685372,762765,581481,429031,117486,742,19968,308,2941,11005,181284,76.23,56.25,15.4,0.1,2.62,0.04,0.39,1.44,23.77,563222,67893,138605,159713,122595,49906,16447,8063,12.05,24.61,28.36,21.77,8.86,2.92,1.43,372096,347625,24471,93.42,6.58,58430,90156.8317285649,292254,6738,285516,2.31,97.69,36807,422537,49376,373161,11.69,88.31,192440,17585,174855,9.14,90.86,759687,106326,653361,292272,473702,14,86,38.47,62.35
"1222","50000US1222","Congressional District 22 (116th Congress)","Congressional District 22 (116th Congress), Florida","fl","500","00","ACSSF","0020091",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,"22",,,,,,,,,,,,,,,,,,750149,4580.849,163.757632853897,750149,588087,435346,109112,998,23627,181,4260,14563,162062,78.4,58.03,14.55,0.13,3.15,0.02,0.57,1.94,21.6,557315,48067,137509,154173,135497,52799,21197,8073,8.62,24.67,27.66,24.31,9.47,3.8,1.45,401272,377272,24000,94.02,5.98,62550,97761.5653725017,303851,3163,300688,1.04,98.96,41669,451905,48550,403355,10.74,89.26,152034,13929,138105,9.16,90.84,745756,99795,645961,234513,495006,13.38,86.62,31.45,66.38
"1223","50000US1223","Congressional District 23 (116th Congress)","Congressional District 23 (116th Congress), Florida","fl","500","00","ACSSF","0020092",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,"23",,,,,,,,,,,,,,,,,,756127,4041.73,187.080020447971,756127,468789,316004,101697,1740,31017,588,3573,14170,287338,62,41.79,13.45,0.23,4.1,0.08,0.47,1.87,38,536587,41477,123805,160124,128160,55041,20192,7788,7.73,23.07,29.84,23.88,10.26,3.76,1.45,398220,375169,23051,94.21,5.79,64827,93301.8780599894,276349,3963,272386,1.43,98.57,36073,468364,45960,422404,9.81,90.19,126476,16388,110088,12.96,87.04,753878,84818,669060,205089,518172,11.25,88.75,27.2,68.73
